"ENTITY","YEAR","RECORDS LOST","ORGANISATION","METHOD OF LEAK","DATA SENSITIVITY","RECORDS LOST RANGE"
"uTorrent ",2016,35000,"web","hacked","Email/Online info","[1025 - 400K)"
"Banner Health",2016,3700000,"healthcare","hacked","Credit Card info","[2,5M - 14M)"
"Mutuelle Generale de la Police",2016,112000,"healthcare","inside job","Full bank account details","[1025 - 400K)"
"World Check",2016,2200000,"media","poor security","Credit Card info","[400K - 2,5M)"
"Uber",2016,5.7e+07,"app","hacked","Email/Online info","[14M - 2200M]"
"Red Cross Blood Service",2017,550000,"healthcare","accidentally published","Email password/Health records","[400K - 2,5M)"
"River City Media",2017,1.37e+09,"web","accidentally published","SSN/Personal Details","[14M - 2200M]"
"Quest Diagnostics",2017,34000,"healthcare","hacked","Email password/Health records","[1025 - 400K)"
"Three",2017,2e+05,"telecoms","hacked","SSN/Personal Details","[1025 - 400K)"
"Wonga",2017,270000,"financial","hacked","Full bank account details","[1025 - 400K)"
"PayAsUGym",2017,3e+05,"web","hacked","Email/Online info","[1025 - 400K)"
"DaFont",2017,7e+05,"web","hacked","Email password/Health records","[400K - 2,5M)"
"Brazzers",2017,790724,"web","hacked","Email password/Health records","[400K - 2,5M)"
"Snapchat",2017,1700000,"app","hacked","Email/Online info","[400K - 2,5M)"
"Bell",2017,1900000,"telecoms","hacked","Email/Online info","[400K - 2,5M)"
"Cellebrite",2017,3e+06,"tech","hacked","SSN/Personal Details","[2,5M - 14M)"
"Clinton campaign",2017,5e+06,"government","hacked","SSN/Personal Details","[2,5M - 14M)"
"ClixSense",2017,6600000,"web","hacked","Full bank account details","[2,5M - 14M)"
"Lynda.com",2017,9500000,"web","hacked","Email/Online info","[2,5M - 14M)"
"Interpark",2017,1e+07,"web","hacked","SSN/Personal Details","[2,5M - 14M)"
"Zomato",2017,1.7e+07,"web","hacked","Email password/Health records","[14M - 2200M]"
"Yahoo",2017,3.2e+07,"web","hacked","Email password/Health records","[14M - 2200M]"
"Weebly",2017,4.3e+07,"web","hacked","Email password/Health records","[14M - 2200M]"
"Dailymotion",2017,85200000,"web","hacked","Email/Online info","[14M - 2200M]"
"Friend Finder Network",2017,4.12e+08,"web","hacked","Email/Online info","[14M - 2200M]"
"Telegram ",2017,1.5e+07,"tech","hacked","Email/Online info","[14M - 2200M]"
"Hong Kong Registration & Electoral Office",2017,3700000,"government","lost / stolen device or media","SSN/Personal Details","[2,5M - 14M)"
"MyHeritage",2017,92283889,"web","hacked","Email/Online info","[14M - 2200M]"
"Dixons Carphone",2017,1e+07,"tech","hacked","Email/Online info","[2,5M - 14M)"
"Aadhaar",2017,1e+09,"government","accidentally published","Credit Card info","[14M - 2200M]"
"CEX",2017,2e+06,"retail","accidentally published","Credit Card info","[400K - 2,5M)"
"Instagram",2017,6e+06,"web","hacked","Email/Online info","[2,5M - 14M)"
"Equifax",2017,1.43e+08,"financial","hacked","Full bank account details","[14M - 2200M]"
"Nival",2017,1500000,"web","hacked","Email password/Health records","[400K - 2,5M)"
"KM.ru ",2017,1500000,"web","hacked","Email password/Health records","[400K - 2,5M)"
"Waterly",2017,1e+06,"app","poor security","Credit Card info","[400K - 2,5M)"
"Swedish Transport Agency",2017,3e+06,"government","poor security","Full bank account details","[2,5M - 14M)"
"Spambot",2017,7.11e+08,"web","poor security","Email password/Health records","[14M - 2200M]"
"SVR Tracking",2017,540000,"app","poor security","Email password/Health records","[400K - 2,5M)"
"Viacom",2017,3e+06,"web","hacked","Email password/Health records","[2,5M - 14M)"
"TIO Networks",2017,1600000,"financial","hacked","Email password/Health records","[400K - 2,5M)"
"Al.type",2017,3.1e+07,"app","poor security","Email password/Health records","[14M - 2200M]"
"Malaysian telcos & MVNOs",2017,46200000,"telecoms","hacked","Email password/Health records","[14M - 2200M]"
"Malaysian medical practitioners",2017,81309,"healthcare","hacked","Email password/Health records","[1025 - 400K)"
"MBM Company",2018,1300000,"retail","poor security","Email password/Health records","[400K - 2,5M)"
"Orbitz",2018,880000,"web","hacked","Credit Card info","[400K - 2,5M)"
"Aadhaar",2018,1.1e+09,"government","poor security","Email password/Health records","[14M - 2200M]"
"Saks and Lord & Taylor",2018,5e+06,"retail","hacked","Credit Card info","[2,5M - 14M)"
"Panerabread",2018,3.7e+07,"retail","poor security","SSN/Personal Details","[14M - 2200M]"
"MyFitnessPal",2018,1.5e+08,"app","hacked","Email/Online info","[14M - 2200M]"
"Twitter",2018,3.3e+08,"app","poor security","Email/Online info","[14M - 2200M]"
"ViewFines",2018,934000,"transport","accidentally published","Email password/Health records","[400K - 2,5M)"
"Firebase",2018,1e+08,"app","poor security","Full bank account details","[14M - 2200M]"
"Ticketmaster",2018,40000,"web","hacked","Credit Card info","[1025 - 400K)"
"Nametests",2018,1.2e+08,"app","poor security","Email/Online info","[14M - 2200M]"
"Careem",2018,1.4e+07,"app","hacked","SSN/Personal Details","[14M - 2200M]"
"Texas voter records",2018,14800000,"web","poor security","SSN/Personal Details","[14M - 2200M]"
"T-Mobile",2018,2e+06,"telecoms","hacked","Email/Online info","[400K - 2,5M)"
"British Airways",2018,380000,"transport","hacked","Email password/Health records","[1025 - 400K)"
"Newegg",2018,4.5e+07,"retail","hacked","Credit Card info","[14M - 2200M]"
